etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker,name_normalized_old
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Canadian National Railway Co.,"5,984","5,84,507",,,canadian national railway,CNR,CANADIAN NATIONAL RAILWAY CO.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Canadian Pacific Railway Ltd.,884,"2,43,105",,,canadian pacific railway,CANAD2,CANADIAN PACIFIC RAILWAY LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Canadian Tire Corp. Ltd., Class A, NVS","1,088","1,00,304",,,canadian tire,YAAA.F,"CANADIAN TIRE CORP. LTD., CLASS A, NVS"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Canopy Growth Corp. (a)(b),"3,332","60,844",,,canopy growth a b,CANOP,CANOPY GROWTH CORP. (A)(B)
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"CCL Industries Inc., Class B, NVS","4,012","1,33,464",,,ccl industries,CCL.B,"CCL INDUSTRIES INC., CLASS B, NVS"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,CGI Inc.,"1,836","1,31,131",,,cgi,GIB.A,CGI INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Constellation Software Inc.,272,"3,21,723",,,constellation software,CSU,CONSTELLATION SOFTWARE INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Cronos Group Inc. (a)(b),68,446,,,cronos a b,CRONO,CRONOS GROUP INC. (A)(B)
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Dollarama Inc.,"3,400","1,24,324",,,dollarama,DOL,DOLLARAMA INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Enbridge Inc.,"20,545","6,57,532",,,enbridge,ENB,ENBRIDGE INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Fairfax Financial Holdings Ltd.,408,"1,27,831",,,fairfax financial,FRFHF,FAIRFAX FINANCIAL HOLDINGS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,First Quantum Minerals Ltd.,"23,392","1,97,684",,,first quantum minerals,FQVLF,FIRST QUANTUM MINERALS LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Franco-Nevada Corp.,"2,788","4,45,622",,,franco nevada,FNV,FRANCO-NEVADA CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,George Weston Ltd.,"2,992","2,25,980",,,george weston,WN,GEORGE WESTON LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Hydro One Ltd.,"14,960","3,18,745",,,hydro one,H,HYDRO ONE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Intact Financial Corp.,"1,020","1,11,358",,,intact financial,IFC,INTACT FINANCIAL CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Inter Pipeline Ltd.,"18,768","1,75,840",,,inter pipeline,INTER,INTER PIPELINE LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Keyera Corp.,"5,236","79,586",,,keyera,KEY,KEYERA CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Kinross Gold Corp.,"10,064","93,916",,,kinross gold,K,KINROSS GOLD CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Kirkland Lake Gold Ltd.,"3,400","1,85,674",,,kirkland lake gold,KIRKL,KIRKLAND LAKE GOLD LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Loblaw Companies Ltd.,"2,108","1,09,358",,,loblaw companies,L,LOBLAW COMPANIES LTD.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Lundin Mining Corp.,"38,148","2,13,595",,,lundin mining,LUN,LUNDIN MINING CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Manulife Financial Corp.,"10,064","1,34,863",,,manulife financial,MFC,MANULIFE FINANCIAL CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Metro Inc.,"4,148","1,81,961",,,metro,MRU,METRO INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,National Bank of Canada,"1,428","67,418",,,national bank of canada,NA.TO,NATIONAL BANK OF CANADA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Open Text Corp.,"5,100","2,29,548",,,open text,OTEX,OPEN TEXT CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Pan American Silver Corp.,"4,556","1,70,233",,,pan american silver,PAAS,PAN AMERICAN SILVER CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Pembina Pipeline Corp.,"17,136","4,16,407",,,pembina pipeline,PBA,PEMBINA PIPELINE CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Power Corp. of Canada,"5,363","95,169",,,power of canada,POW,POWER CORP. OF CANADA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Restaurant Brands International Inc.,"3,400","1,92,019",,,restaurant brands international,QSR,RESTAURANT BRANDS INTERNATIONAL INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,RioCan REIT,"7,684","85,817",,,riocan reit,RIOCA,RIOCAN REIT
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Rogers Communications Inc., Class B, NVS","3,808","1,55,504",,,rogers communications,RCI-B.TO,"ROGERS COMMUNICATIONS INC., CLASS B, NVS"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Royal Bank of Canada,"12,648","8,72,471",,,royal bank of canada,RY,ROYAL BANK OF CANADA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Shaw Communications Inc., Class B, NVS","9,180","1,67,906",,,shaw communications,SHAWC2,"SHAW COMMUNICATIONS INC., CLASS B, NVS"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,"Shopify Inc., Class A",884,"9,03,983",,,shopify,SHOP,"SHOPIFY INC., CLASS A"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,SmartCentres Real Estate Investment Trust,"4,556","68,978",,,smartcentres real estate investment trust,CWYUF,SMARTCENTRES REAL ESTATE INVESTMENT TRUST
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Sun Life Financial Inc.,"4,012","1,56,377",,,sun life financial,SLF,SUN LIFE FINANCIAL INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,TC Energy Corp.,"6,392","2,91,326",,,tc energy,TRP,TC ENERGY CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,TELUS Corp.,"4,080","70,756",,,telus,T,TELUS CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Thomson Reuters Corp.,"3,808","2,65,693",,,thomson reuters,TRI,THOMSON REUTERS CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Toronto-Dominion Bank (The),"15,059","6,66,328",,,toronto dominion bank the,TD,TORONTO-DOMINION BANK (THE)
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Wheaton Precious Metals Corp.,"6,868","3,72,600",,,wheaton precious metals,WPM,WHEATON PRECIOUS METALS CORP.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,WSP Global Inc.,"2,040","1,28,096",,,wsp global,WSP,WSP GLOBAL INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Yamana Gold Inc.,"13,940","90,540","1,37,47,849",,yamana gold,YAMAN,YAMANA GOLD INC.
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Chile — 0.1%,"Aguas Andinas SA, Class A","2,55,272","89,760",,,aguas andinas,AGUAS3,"AGUAS ANDINAS SA, CLASS A"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Chile — 0.1%,Cencosud SA,"50,184","87,453",,,cencosud,CENCOSUD,CENCOSUD SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Chile — 0.1%,Falabella SA,"26,018","92,812","2,70,025",,falabella,FALABELLA.SN,FALABELLA SA
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"360 Security Technology Inc., Class A","6,800","18,927",,,360 security technology,601360.SS,"360 SECURITY TECHNOLOGY INC., CLASS A"
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,China — 5.0%,"Agricultural Bank of China Ltd., Class H","5,44,000","1,93,027",,,agricultural bank of china class h,EK7.DU,"AGRICULTURAL BANK OF CHINA LTD., CLASS H"
