etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,China Gas Holdings Ltd.,"31,200","1,30,135",,,CHINA GAS HOLDINGS LTD.,CGHOF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Life Insurance Co. Ltd., Class H","1,56,000","4,01,564",,,"CHINA LIFE INSURANCE CO. LTD., CLASS H",CHL.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Merchants Bank Co. Ltd., Class A","23,400","1,24,141",,,"CHINA MERCHANTS BANK CO. LTD., CLASS A",600036.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Merchants Bank Co. Ltd., Class H","39,000","1,95,551",,,"CHINA MERCHANTS BANK CO. LTD., CLASS H",600036.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Minsheng Banking Corp. Ltd., Class A","78,000","68,703",,,"CHINA MINSHENG BANKING CORP. LTD., CLASS A",CMAKY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,China Mobile Ltd.,"78,000","6,65,121",,,CHINA MOBILE LTD.,600941.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Molybdenum Co. Ltd., Class H","2,34,000","67,558",,,"CHINA MOLYBDENUM CO. LTD., CLASS H",D7N.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China National Nuclear Power Co. Ltd., Class A","93,600","76,467",,,"CHINA NATIONAL NUCLEAR POWER CO. LTD., CLASS A",601985.SS
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Oilfield Services Ltd., Class H","1,48,000","1,68,270",,,"CHINA OILFIELD SERVICES LTD., CLASS H",CO9.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Pacific Insurance Group Co. Ltd., Class A","15,600","87,378",,,"CHINA PACIFIC INSURANCE GROUP CO. LTD., CLASS A",75CB.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,China Resources Gas Group Ltd.,"1,56,000","7,95,156",,,CHINA RESOURCES GAS GROUP LTD.,CRGGF
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Tower Corp. Ltd., Class H","4,68,000","1,21,964",,,"CHINA TOWER CORP. LTD., CLASS H",2Y11.F
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,China Unicom Hong Kong Ltd.,"1,56,000","1,52,654",,,CHINA UNICOM HONG KONG LTD.,CHINA13
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Vanke Co. Ltd., Class A","7,800","32,552",,,"CHINA VANKE CO. LTD., CLASS A",CHVKY
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/19,China — 3.9%,"China Vanke Co. Ltd., Class H","24,100","91,284",,,"CHINA VANKE CO. LTD., CLASS H",CHVKY
