scenario,ETF_Ticker,TE_annual,TE_to_Budget,TE_coverage_wt,%Clean,%Controversial,%Other,#names,ActiveShare_%,%ActiveNames,MaxDeltaName,MaxDelta_%,ETF_AUM_USD,sector_dev__Cash and/or Derivatives,sector_dev__Communication,sector_dev__Consumer Discretionary,sector_dev__Consumer Staples,sector_dev__Energy,sector_dev__Financials,sector_dev__Health Care,sector_dev__Industrials,sector_dev__Information Technology,sector_dev__Materials,sector_dev__Real Estate,sector_dev__Utilities,region_dev__Other,region_dev__US,region_dev__Americas,region_dev__APAC,region_dev__Europe
Strict Exclusion,DSI,0.02950210716888733,,0.6463,15.553081067819615,0.0,84.44691893218038,334,34.43331444759207,94.83568075117371,MSFT,-12.770000000000001,4922643873.61,4.336808689942018e-17,2.7755575615628914e-15,1.3877787807814457e-15,6.938893903907228e-16,3.469446951953614e-16,2.7755575615628914e-15,1.3877787807814457e-15,2.7755575615628914e-15,5.551115123125783e-15,3.469446951953614e-16,6.938893903907228e-16,1.734723475976807e-16,0.0,0.0,,,
Strict Exclusion,SUSL,0.030417706025667006,,0.6595999999999999,13.85768809487572,0.0,86.14231190512427,236,34.80715997181114,94.25675675675676,MSFT,-12.97,991959261.12,0.0,0.0,1.3877787807814457e-15,0.0,-3.469446951953614e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Strict Exclusion,LCTD,0.008025335054719257,,0.3438,10.969188671546693,0.0,89.03081132845331,310,25.112885955474113,97.24310776942356,TTE,2.745855951468175,268223146.42,0.20340041880216614,-0.09854019685101023,0.22061590589849273,-0.07830596400263401,-0.02593010915154098,-0.5064579354708276,0.11053660497381407,0.3430696559399288,-0.052999736059239355,-0.21788023850659796,0.10758559639094736,-0.0050940019634952705,-0.0036568102649609142,-0.040612756427520214,-0.07313620529921794,-0.12521804846684081,0.24262382045854292
Strict Exclusion,LCTU,0.016049217783823323,,0.5921,24.96191317825913,0.0,75.03808682174086,235,32.309999999999995,95.28301886792453,MSFT,-5.73,1333819124.64,0.016310337718271426,0.2281656118108169,0.3144270660133411,0.15132368883062908,-2.92,0.4394975666123374,0.27787982779277076,0.2938881222199638,0.9713712241103845,0.0718863032768257,0.07611490935193303,0.07913534226272403,0.0,0.0,0.0,,0.0
Strict Exclusion,DMXF,0.002563062631968284,,0.3131,6.373743575341904,0.0,93.6262564246581,417,10.360586682766183,97.2457627118644,REL,-1.11,889247652.85,0.0011924582909615504,0.10670372541385503,-0.008042276192072456,0.027490837702314266,,0.12716140030696876,-0.1632978665461554,-0.06899902019166237,0.017704483913413838,-0.11104399342770355,0.08121453149076696,-0.01008428076069096,0.0,0.0,,0.0,0.0
Strict Exclusion,XVV,0.01994439331284077,,0.6240000000000001,23.36133714506561,0.0,76.6386628549344,377,34.17663577386469,91.71974522292993,MSFT,-8.11,440113837.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-16,0.0,-1.734723475976807e-16,0.0,0.0,,,
Strict Exclusion,USXF,0.030891037557279333,,0.48679999999999995,15.441268485877169,0.0,84.55873151412283,293,19.741140819964347,91.1854103343465,NVDA,-11.981140819964347,1291850247.42,0.0,0.0,-1.3877787807814457e-15,3.469446951953614e-16,,-2.7755575615628914e-15,6.938893903907228e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Strict Exclusion,ESGU,0.017341418912879224,,0.6098000000000001,21.259944287518003,0.0,78.74005571248199,228,35.30980306345734,94.55128205128206,MSFT,-6.77,14432830146.4,0.0,-1.3877787807814457e-15,0.0,-6.938893903907228e-16,0.0,0.0,0.0,1.3877787807814457e-15,0.0,3.469446951953614e-16,0.0,0.0,0.0,0.0,,,
Strict Exclusion,PABD,0.004231978496898816,,0.31239999999999996,8.455514783999982,0.0,91.54448521600001,444,12.364238211894696,97.6,HSBA,-1.12,235947165.54,0.023542789078735346,0.05586382587003322,0.23917007904324106,-0.14554957733600646,-0.14,-0.42208119664249866,0.2760044378629839,0.08555947240844741,-0.04250000292622125,-0.18983752349472985,0.39387194664783076,-0.13404425051180835,-0.006928768516613944,-0.06832535620549807,-0.14194352169452085,-0.2167164819363132,0.4339141283529524
Strict Exclusion,ESGD,0.007693239361905857,,0.33599999999999997,7.56324292952024,0.0,92.43675707047976,330,29.75532282344513,96.57534246575342,TTE,1.3742680588116807,10731249448.45,0.009266951033704875,0.13049783178785343,0.5679544289322713,-0.2914061336262763,-0.2102968811321368,-0.2540887814205417,-0.12608114396266135,0.12566480056272755,-0.0077952732180003315,0.007505839695408356,0.030718727728880346,0.01805963361877702,-0.00019114104103830354,0.020896745812884476,,-0.005412309477820232,-0.015293295294027676
Strict Exclusion,PABU,0.022488431515279232,,0.728,27.091315760780514,0.0,72.9086842392195,164,25.341282051282043,84.23913043478261,MSFT,-8.52,2195998668.13,0.0,0.0,0.0,0.0,,0.0,-1.3877787807814457e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Strict Exclusion,ICLN,0.02147427054882259,,0.7140000000000002,27.35492228954049,0.0,72.64507771045952,110,21.163941305152584,86.02941176470588,SSE,-5.8,1515495457.31,0.06717004061045717,,,,-0.03214737013966232,,,0.2509824321351106,-0.8013122764360392,-0.21031573685062355,,0.7256229106807455,0.0,0.0,0.0,0.0,0.0
