etf_ticker,etf_name,date,sector,security,shares,value,total_value,total_overall_value,name_normalized,company_ticker
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Intact Financial Corp.,"1,020","1,11,358",,,INTACT FINANCIAL,IFC.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Inter Pipeline Ltd.,"18,768","1,75,840",,,INTER PIPELINE,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Keyera Corp.,"5,236","79,586",,,KEYERA,KEY.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Kinross Gold Corp.,"10,064","93,916",,,KINROSS GOLD,KGC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Kirkland Lake Gold Ltd.,"3,400","1,85,674",,,KIRKLAND LAKE GOLD,
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Loblaw Companies Ltd.,"2,108","1,09,358",,,LOBLAW COMPANIES,L8G.SG
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Lundin Mining Corp.,"38,148","2,13,595",,,LUNDIN MINING,LUMI.ST
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Manulife Financial Corp.,"10,064","1,34,863",,,MANULIFE FINANCIAL,MFC
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Metro Inc.,"4,148","1,81,961",,,METRO,MRU.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,National Bank of Canada,"1,428","67,418",,,NATIONAL BANK OF CANADA,NA.TO
CRBN,iShares MSCI ACWI Low Carbon Target ETF,31/07/20,Canada — 3.2%,Open Text Corp.,"5,100","2,29,548",,,OPEN TEXT,OTEX
