year_a,year_b,holding_name,ticker,classification_a,classification_b,delta_contrib_pct_agg,appear_in_n_funds_a,appear_in_n_funds_b
2017,2025,toray industries,3402,Other,Other,0.00022516909261572672,1,3
2017,2025,rio tinto,RIO,Other,Other,0.000223804226866032,1,1
2017,2025,northrop grumman,NOC,Controversial,Controversial,0.0002231462276406685,2,1
2017,2025,erste bank,EBS,Other,Other,0.00022310880057867775,1,5
2017,2025,ametek,AME,Controversial,Controversial,0.00022294703191342078,1,5
2017,2025,eisai,4523,Clean,Clean,0.00021865120487154656,1,4
2017,2025,isuzu motors,7202,Other,Other,0.00021420189708866306,1,1
2017,2025,caixabank,CABK,Other,Other,0.00021194483582172245,2,3
2017,2025,dollar general,DG,Controversial,Controversial,0.00020938546155100139,1,6
2017,2025,credit agricole,ACA,Other,Other,0.000207356473840102,2,3
2017,2025,ctbc financial holding,2891,Other,Other,0.000205207006456191,1,3
2017,2025,mitsubishi electric,6503,Controversial,Controversial,0.00020079659885624638,2,2
2017,2025,citigroup,C,Controversial,Controversial,0.00019936675020848786,2,4
2017,2025,eqt,EQT,Controversial,Controversial,0.00019802958324978767,2,5
2017,2025,ucb,UCB,Other,Other,0.00018910050273327145,1,4
2017,2025,alstom,ALO,Other,Clean,0.00018879755655367168,1,2
2017,2025,sysmex,6869,Other,Other,0.00018655999933562823,2,5
2017,2025,lenovo,992,Clean,Clean,0.0001846114754374467,2,1
2017,2025,vonovia se,VNA,Other,Other,0.00018415202545799165,1,5
2017,2025,sanlam,SLM,Other,Other,0.000178363364350796,2,2
2017,2025,asics,7936,Controversial,Controversial,0.00017809369147623471,1,4
2017,2025,nitto denko,6988,Other,Other,0.00017607250422441964,1,3
2017,2025,vinci,DG,Controversial,Clean,0.00017570735267258871,1,4
2017,2025,ihi,7013,Other,Controversial,0.00017402146322948424,1,3
2017,2025,bnp paribas,BNP,Controversial,Controversial,0.0001731065629324162,2,3
2017,2025,banco de sabadell,SAB,Other,Other,0.00017210519292012067,1,3
2017,2025,aercap,AER,Other,Other,0.00016973559052085047,1,4
2017,2025,factset research systems,FDS,Other,Other,0.00016945430358619046,1,8
2017,2025,engie,ENGI,Controversial,Controversial,0.00016633844508387636,1,2
2017,2025,concordia financial,7186,Other,Other,0.00016589322256729518,1,4
2017,2025,boc hong kong,2388,Other,Other,0.00016580932837835895,2,2
2017,2025,asx,ASX,Other,Other,0.0001634691958428613,1,4
2017,2025,paccar,PCAR,Other,Other,0.00016080555038715496,1,5
2017,2025,daikin industries,6367,Controversial,Controversial,0.00015711525504848314,1,1
2017,2025,anta sports products,2020,Other,Other,0.00015705152001827617,1,2
2017,2025,tdk,6762,Other,Other,0.0001530909782719327,1,2
2017,2025,china conch venture,586,Other,Other,0.00014890164553517642,2,1
2017,2025,gecina,GFC,Other,Other,0.00014724415347401853,1,6
2017,2025,delta air lines,DAL,Other,Other,0.00014587087388346959,2,5
2017,2025,murata manufacturing,6981,Other,Other,0.00014366297534280174,1,4
2017,2025,asahi kasei,3407,Other,Other,0.0001423443719928116,1,3
2017,2025,idemitsu kosan,5019,Controversial,Controversial,0.00014139812486376992,1,2
2017,2025,valero energy,VLO,Other,Controversial,0.00014089479390014495,2,5
2017,2025,idex,IEX,Other,Other,0.0001391240947744473,1,8
2017,2025,anglo american,AAL,Controversial,Controversial,0.00013823405436829106,1,2
2017,2025,thermo fisher scientific,TMO,Other,Controversial,0.00013500320681343928,1,4
2017,2025,davita,DVA,Clean,Clean,0.00013495540550898641,1,8
2017,2025,yokogawa electric,6841,Other,Other,0.00013364941844186932,2,2
2017,2025,sumitomo metal mining,5713,Other,Other,0.00013317218199420435,1,3
2017,2025,seagate technology,STX,Other,Other,0.00013028864707458654,1,5
2017,2025,iron mountain,IRM,Other,Other,0.00012442178879202285,3,8
2017,2025,asahi,2502,Other,Other,0.00012138890863068813,1,3
2017,2025,coway,21240,Other,Other,0.00011982039231371922,1,2
2017,2025,check point software technologies,CHKP,Other,Other,0.00011973971272847777,1,5
2017,2025,jfe,5411,Other,Other,0.00011692425144065173,1,2
2017,2025,kering,KER,Controversial,Controversial,0.00011590808735391183,2,4
2017,2025,mitsubishi estate,8802,Other,Other,0.00011436552780693686,2,5
2017,2025,duke energy,DUK,Other,Controversial,0.00011399054353760467,1,1
2017,2025,inpex,1605,Controversial,Controversial,0.00011108715137428434,1,2
2017,2025,tokyo gas,9531,Controversial,Controversial,0.00011023661600833772,1,1
2017,2025,smiths,SMIN,Other,Controversial,0.00011015037962496678,1,3
2017,2025,koninklijke ahold delhaize,AD,Controversial,Controversial,0.00011011470520254433,2,1
2017,2025,costar,CSGP,Other,Other,0.0001079821773843162,1,4
2017,2025,cincinnati financial,CINF,Other,Other,0.00010611331553145908,1,6
2017,2025,obayashi,1802,Other,Other,0.00010550055804389513,2,2
2017,2025,rakuten,4755,Other,Other,0.00010132827953579333,1,5
2017,2025,samsung c and t,28260,Controversial,Controversial,0.00010095016513149242,2,1
2017,2025,b3 brasil bolsa balcao,B3SA3,Other,Other,0.0001003320683769847,2,3
2017,2025,dai ichi life,8750,Other,Other,9.877267249153455e-05,2,4
2017,2025,kingfisher,KGF,Controversial,Controversial,9.866562469067444e-05,2,2
2017,2025,canon,7751,Other,Other,9.613823972748527e-05,1,3
2017,2025,quanta computer,2382,Controversial,Other,9.21192600167698e-05,1,2
2017,2025,ebay,EBAY,Other,Other,9.150859026897391e-05,1,6
2017,2025,safran,SAF,Other,Controversial,8.950551302945857e-05,1,2
2017,2025,embraer,EMBR3,Other,Controversial,8.924911901479169e-05,1,1
2017,2025,astellas pharma,4503,Clean,Clean,8.696440876595742e-05,2,4
2017,2025,fujifilm,4901,Other,Other,8.453090273677008e-05,2,4
2017,2025,mitsui fudosan,8801,Other,Other,8.42071994575932e-05,2,4
