year,ETF_Ticker,screen_category,exposure_pct,aum_usd
2024,DSI,Prisons,15.390487718611054,4246772961.0
2025,DSI,Prisons,22.794359446931423,4790621472.66
2017,ESGD,Prisons,2.7918909478085525,122123323.0
2018,ESGD,Prisons,2.8340801170569594,360308692.0
2019,ESGD,Prisons,2.5039578758880086,917779537.0
2020,ESGD,Prisons,1.9816513051058156,3025518508.0
2021,ESGD,Prisons,1.6974364529510353,6694668587.0
2022,ESGD,Prisons,2.5043139760061517,6376261704.0
2023,ESGD,Prisons,3.15056577484932,7260643178.0
2024,ESGD,Prisons,3.1321192316286393,7857945972.0
2025,ESGD,Prisons,2.9660152931541095,9596812876.42
2017,ESGU,Prisons,7.413820264207511,10829518.0
2018,ESGU,Prisons,14.892166651410138,98974020.0
2019,ESGU,Prisons,15.529327559479611,295904506.0
2020,ESGU,Prisons,17.386758065306214,8991145354.0
2021,ESGU,Prisons,8.556095409746897,22262630403.0
2022,ESGU,Prisons,12.681283271895968,22194428203.0
2023,ESGU,Prisons,12.909215032373039,12824827132.0
2024,ESGU,Prisons,14.25927479422239,13485685666.0
2025,ESGU,Prisons,19.743081700493622,13989919390.35
2018,ESML,Prisons,0.9006634166369641,11505741.0
2019,ESML,Prisons,0.5210725976024799,57663750.0
2020,ESML,Prisons,0.789905152507276,366339046.0
2021,ESML,Prisons,0.837804562874118,1099038297.0
2022,ESML,Prisons,1.025268430358675,1479097137.0
2023,ESML,Prisons,1.4051847118993506,1403577468.0
2024,ESML,Prisons,1.8570480291958102,1578937784.0
2025,ESML,Prisons,1.8710695714283339,1878348896.09
2021,LCTD,Prisons,2.243921081951027,605599462.0
2022,LCTD,Prisons,3.152557173286655,442314960.0
2023,LCTD,Prisons,4.585073514104305,576261731.0
2024,LCTD,Prisons,5.360071456607306,344953405.0
2025,LCTD,Prisons,3.0021941240493946,234070256.94
2021,LCTU,Prisons,8.122815033150621,1423888880.0
2022,LCTU,Prisons,17.897870599354835,1409350423.0
2023,LCTU,Prisons,18.26010691176725,1683978711.0
2024,LCTU,Prisons,19.449214695073692,1356576171.0
2025,LCTU,Prisons,18.408092472209102,1305135788.31
2024,PABD,Prisons,2.1350243204301282,6204660.0
2025,PABD,Prisons,2.229088157084669,208173774.79
2022,PABU,Prisons,13.18498725356215,756881657.0
2023,PABU,Prisons,13.502427323154238,1489773825.0
2024,PABU,Prisons,14.72934871675465,1776067415.0
2025,PABU,Prisons,18.833396560611618,2177420259.22
2017,SUSA,Prisons,12.05770599832369,528508524.0
2018,SUSA,Prisons,13.294912047000652,681606886.0
2019,SUSA,Prisons,10.035370174496096,1075898000.0
2020,SUSA,Prisons,11.486162158286708,1289055430.0
2021,SUSA,Prisons,8.02727381526031,3057930957.0
2022,SUSA,Prisons,11.317901037372724,3662646233.0
2023,SUSA,Prisons,9.142883703016047,3260027828.0
2024,SUSA,Prisons,8.378666172095032,3333157871.0
2025,SUSA,Prisons,14.505564431859804,3555990177.17
2019,SUSL,Prisons,16.454484935421597,1579065100.0
2020,SUSL,Prisons,20.179570156549364,2564227647.0
2021,SUSL,Prisons,16.913713116223228,4077962404.0
2022,SUSL,Prisons,14.385963584044037,3116650243.0
2023,SUSL,Prisons,14.958917377212938,1139306520.0
2024,SUSL,Prisons,16.39320537574834,1123280187.0
2025,SUSL,Prisons,22.753542189123397,969050560.38
2023,USCL,Prisons,10.032474478446632,2299045699.0
2024,USCL,Prisons,14.6119150297194,1949740013.0
2025,USCL,Prisons,22.16277315062685,2487467893.45
2020,USXF,Prisons,0.1149711676693569,5807543.0
2021,USXF,Prisons,0.3949734664338635,419105368.0
2022,USXF,Prisons,1.034220599900312,589182424.0
2023,USXF,Prisons,0.8455654169378267,722994091.0
2024,USXF,Prisons,0.9543216519532203,936873745.0
2025,USXF,Prisons,1.444069207841402,1263627631.62
2020,XJH,Prisons,0.8898009849779257,5125191.0
2021,XJH,Prisons,1.3626549464468536,39689358.0
2022,XJH,Prisons,2.1073275697947786,84725034.0
2023,XJH,Prisons,1.836347181907525,111598396.0
2024,XJH,Prisons,1.7544166935491137,182811359.0
2025,XJH,Prisons,1.4788253507500624,290594113.62
2020,XVV,Prisons,21.01919279886747,5139636.0
2021,XVV,Prisons,10.297882129790974,146941913.0
2022,XVV,Prisons,21.553487568925622,201075983.0
2023,XVV,Prisons,22.17913300038185,155683944.0
2024,XVV,Prisons,22.64112174008807,253613830.0
2025,XVV,Prisons,22.3947414893185,430814329.23
2017,CRBN,Tobacco,2.1864016908643347,434815251.0
2018,CRBN,Tobacco,2.1572320225970865,534024244.0
2019,CRBN,Tobacco,2.0468725104230847,468999117.0
2020,CRBN,Tobacco,1.8075950400498864,432095233.0
2021,CRBN,Tobacco,1.273563250256886,861219103.0
2022,CRBN,Tobacco,1.6096380334895963,907313054.0
2023,CRBN,Tobacco,1.8798143101669693,897207980.0
2024,CRBN,Tobacco,1.9277837251531893,865372385.0
2025,CRBN,Tobacco,2.0949852592243103,1027534118.21
2017,ESGD,Tobacco,0.3678461975686659,122123323.0
2018,ESGD,Tobacco,0.6117163001996078,360308692.0
2019,ESGD,Tobacco,0.602849679791891,917779537.0
2020,ESGD,Tobacco,0.7865087236147887,3025518508.0
2021,ESGD,Tobacco,0.9110671156812561,6694668587.0
2022,ESGD,Tobacco,0.9139511630057774,6376261704.0
2023,ESGD,Tobacco,0.8680579454857766,7260643178.0
2024,ESGD,Tobacco,0.8653245039135018,7857945972.0
2025,ESGD,Tobacco,0.9915916660604825,9596812876.42
2017,ESGU,Tobacco,1.3560344975648961,10829518.0
2018,ESGU,Tobacco,1.5529772358443155,98974020.0
2019,ESGU,Tobacco,1.580969841669123,295904506.0
2020,ESGU,Tobacco,1.2073112125999337,8991145354.0
2021,ESGU,Tobacco,0.9420180194508347,22262630403.0
2022,ESGU,Tobacco,0.23098084136752203,22194428203.0
2023,ESGU,Tobacco,0.22439090760291738,12824827132.0
2024,ESGU,Tobacco,0.1838815883312462,13485685666.0
2025,ESGU,Tobacco,0.42408706801358986,13989919390.35
2025,ESML,Tobacco,0.16704018228622336,1878348896.09
2021,LCTD,Tobacco,0.5226778091160194,605599462.0
2022,LCTD,Tobacco,0.7210990557497762,442314960.0
2023,LCTD,Tobacco,0.5250077937242027,576261731.0
2024,LCTD,Tobacco,0.44349931840794554,344953405.0
2025,LCTD,Tobacco,0.5565058102764007,234070256.94
2022,LCTU,Tobacco,0.07843336773880544,1409350423.0
2023,LCTU,Tobacco,0.04818202241512779,1683978711.0
2024,LCTU,Tobacco,0.023035123768217803,1356576171.0
2025,LCTU,Tobacco,3.961426884703554e-05,1305135788.31
2024,PABD,Tobacco,0.555372897145049,6204660.0
2025,PABD,Tobacco,0.9113390732880797,208173774.79
2025,SUSL,Tobacco,0.4211948815549376,969050560.38
2023,USCL,Tobacco,0.4229540545553114,2299045699.0
2024,USCL,Tobacco,0.37609496400072084,1949740013.0
2025,USCL,Tobacco,0.8708111882383742,2487467893.45
2025,USXF,Tobacco,0.5653607551174832,1263627631.62
2020,XVV,Tobacco,1.6277222744957036,5139636.0
2021,XVV,Tobacco,1.341456606734118,146941913.0
2022,XVV,Tobacco,0.9210682312069065,201075983.0
2023,XVV,Tobacco,0.9135585619542116,155683944.0
2024,XVV,Tobacco,0.750759530740102,253613830.0
2025,XVV,Tobacco,0.6673421460095198,430814329.23
2017,CRBN,Weapons,0.30424576804919845,434815251.0
2018,CRBN,Weapons,0.31103456793620776,534024244.0
2019,CRBN,Weapons,0.536889496958264,468999117.0
2020,CRBN,Weapons,0.4972306648890987,432095233.0
2021,CRBN,Weapons,0.5375623907868657,861219103.0
2022,CRBN,Weapons,0.586324750486837,907313054.0
2023,CRBN,Weapons,1.450926461889026,897207980.0
2024,CRBN,Weapons,1.401284141970858,865372385.0
2025,CRBN,Weapons,2.051179301638773,1027534118.21
2020,DMXF,Weapons,0.4615833288670532,11157682.0
2021,DMXF,Weapons,0.3823487907967504,245845684.0
2022,DMXF,Weapons,0.36371019331908605,354432464.0
2023,DMXF,Weapons,0.4577780887179402,475875769.0
2024,DMXF,Weapons,0.5740003375537769,612269849.0
2025,DMXF,Weapons,1.0840829481973753,804362959.91
2017,DSI,Weapons,1.4299893093886504,822945453.0
2018,DSI,Weapons,1.4647604591010066,1035422953.0
2019,DSI,Weapons,1.3209560158492504,1640657277.0
2020,DSI,Weapons,1.179759036551866,1793823683.0
2021,DSI,Weapons,1.253148472899579,3109465386.0
2022,DSI,Weapons,1.3057162171097005,3613714403.0
2023,DSI,Weapons,1.3874431314747535,3536465235.0
2024,DSI,Weapons,1.7798521770328282,4246772961.0
2025,DSI,Weapons,1.7282852025047934,4790621472.66
2021,EMXF,Weapons,0.398098702677347,13549906.0
2022,EMXF,Weapons,0.652399451097122,35467841.0
2023,EMXF,Weapons,0.7925933098365638,55954926.0
2024,EMXF,Weapons,1.2216157760379263,73705908.0
2025,EMXF,Weapons,1.5899449577291118,106662263.48
2017,ESGD,Weapons,1.6435419137751435,122123323.0
