name_normalized,source_file
AAC TECHNOLOGIES HOLDINGS INC.,soi_2017.csv
ABB LTD. REGISTERED,soi_2017.csv
ABBVIE INC.,soi_2017.csv
ABERDEEN ASSET MANAGEMENT PLC,soi_2017.csv
ABERTIS INFRAESTRUCTURAS SA,soi_2017.csv
ABOITIZ EQUITY VENTURES INC.,soi_2017.csv
ABU DHABI COMMERCIAL BANK PJSC,soi_2017.csv
ACCENTURE PLC CLASS,soi_2017.csv
ACCO BRANDS CORP. A,soi_2017.csv
ACER INC.,soi_2017.csv
ACTIVISION BLIZZARD INC.,soi_2017.csv
ACUITY BRANDS INC.,soi_2017.csv
ADECCO GROUP AG REGISTERED,soi_2017.csv
ADIDAS AG,soi_2017.csv
ADOBE SYSTEMS INC.,soi_2017.csv
ADOBE SYSTEMS INC. A,soi_2017.csv
ADVANCE AUTO PARTS INC.,soi_2017.csv
ADVANCED INFO SERVICE PCL NVDR,soi_2017.csv
ADVANCED MICRO DEVICES INC.,soi_2017.csv
ADVANCED MICRO DEVICES INC. A,soi_2017.csv
ADVANCED SEMICONDUCTOR ENGINEERING INC.,soi_2017.csv
AEGON NV,soi_2017.csv
